nombre,urls
Act 2: Chapter 52: Demon King of Spider; Mother,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-52-demon-king-of-spider-mother
Act 2: Chapter 53: 《Mystic Eye of Binding》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-53-mystic-eye-of-binding
Act 2: Chapter 54: Eldest Daughter and Second Daughter,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-54-eldest-daughter-and-second-daughter
Act 2: Chapter 55: A Little Shaking Reunion,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-55-a-little-shaking-reunion
Act 2: Chapter 56: Light Conversation With Immortal Being,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-56-light-conversation-with-immortal-being
Act 2: Chapter 57: Saint Fist Pomera,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-57-saint-fist-pomera
Act 2: Chapter 58: Immortal's Report(Side: Lunaire),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-58-immortals-reportside-lunaire
Act 2: Chapter 59: Depression of The Observer(Side: Nyarlhotep),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-2-chapter-59-depression-of-the-observerside-nyarlhotep
Act 3: Chapter 1: Sake Cup and The Reaper,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-1-sake-cup-and-the-reaper
Act 3: Chapter 2: Wishing For A Droplet,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-2-wishing-for-a-droplet
Act 3: Chapter 3: Spirit Summoning,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-3-spirit-summoning
Act 3: Chapter 4: Sacred Beast Urzottle,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-4-sacred-beast-urzottle
Act 3: Chapter 5: 《Yggdrasil's Droplet》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-5-yggdrasils-droplet
Act 3: Chapter 6: Busybody Senior,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-6-busybody-senior
Act 3: Chapter 7: Signs of Unrest,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-7-signs-of-unrest
Act 3: Chapter 8: God of War's Visit,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-8-god-of-wars-visit
Act 3: Chapter 9: God of War's Secret,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-9-god-of-wars-secret
Act 3: Chapter 10: Immortal's Surveillance(Side: Lunaire),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-10-immortals-surveillanceside-lunaire
Act 3: Chapter 11: Placing Order,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-11-placing-order
Act 3: Chapter 12: A-rank Item,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-12-a-rank-item
Act 3: Chapter 13: Knight From Royal Capital,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-13-knight-from-royal-capital
Act 3: Chapter 14: Dogma of Fire Dragon,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-14-dogma-of-fire-dragon
Act 3: Chapter 15: Blood Cup,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-15-blood-cup
Act 3: Chapter 16: Red Authority Cane,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-16-red-authority-cane
Act 3: Chapter 17: 《Bahal The Executioner》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-17-bahal-the-executioner
Act 3: Chapter 18: The Reaper's Raid（ side:Pomera）,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-18-the-reapers-raid-sidepomera
Act 3: Chapter 19: Mysterious Sibling(Side: Pomera),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-19-mysterious-siblingside-pomera
Act 4: Chapter 20: Battle Against The Reaper(Side: Pomera),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-20-battle-against-the-reaperside-pomera
Act 4: Chapter 21: The Reaper's Trembling(Side: Lovis),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-21-the-reapers-tremblingside-lovis
Act 3: Chapter 21: The Reaper's Trembling(Side: Lovis),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-21-the-reapers-tremblingside-lovis
Act 3: Chapter 22: Reaper vs Lich (Side: Lovis),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-22-reaper-vs-lich-side-lovis
Act 3: Chapter 23: Getting a Life in Every Death(Side: Lovis),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-23-getting-a-life-in-every-deathside-lovis
Act 3: Chapter 24: Eloquence(Side: Lovis),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-24-eloquenceside-lovis
Act 3: Chapter 25: The Great Yama(Side: Lovis),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-25-the-great-yamaside-lovis
Act 3: Chapter 26: Leader of The Cup（side:Kotone）,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-26-leader-of-the-cupsidekotone
Act 4: Chapter 27: 《Puppet Coffin》(Side: Kotone),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-4-chapter-27-puppet-coffinside-kotone
Act 3: Chapter 27: 《Puppet Coffin》(Side: Kotone),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-27-puppet-coffinside-kotone
Act 3: Chapter 28: Puppet Show(Side: Kotone),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-28-puppet-showside-kotone
Act 3: Chapter 29: 《Garan of Hundred Demon》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-29-garan-of-hundred-demon
Act 3: Chapter 30: Knight Among Knights,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-30-knight-among-knights
Act 3: Chapter 31: Three Puppets,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-31-three-puppets
Act 3: Chapter 32: Cursed Soul Crystal; 《Agniraz》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-32-cursed-soul-crystal-agniraz
Act 3: Chapter 33: A Genuine 《Humanoid Dragon》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-33-a-genuine-humanoid-dragon
Act 3: Chapter 34: 《Red Authority Cane》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-3-chapter-34-red-authority-cane
