"nombre";"url"
"My Loyal Husband After Our Divorce";"https://boxnovel.com/novel/my-loyal-husband-after-our-divorce/"
"Chaotic Sword God";"https://boxnovel.com/novel/chaotic-sword-god/"
"Myriad Paths of the Dragon Emperor";"https://boxnovel.com/novel/myriad-paths-of-the-dragon-emperor/"
"If You Could Hear My Heart";"https://boxnovel.com/novel/if-you-could-hear-my-heart/"
"Maximum Comprehension Taking Care of Swords In A Sword Pavilion";"https://boxnovel.com/novel/maximum-comprehension-taking-care-of-swords-in-a-sword-pavilion/"
"I Have the Alchemy Emperor in My Head";"https://boxnovel.com/novel/i-have-the-alchemy-emperor-in-my-head/"
"After Transmigrating The Fat Wife Made A Comeback";"https://boxnovel.com/novel/after-transmigrating-the-fat-wife-made-a-comeback/"
"The Mage of Eternity";"https://boxnovel.com/novel/the-mage-of-eternity/"
"I Am Loaded with Passive Skills";"https://boxnovel.com/novel/i-am-loaded-with-passive-skills/"
"Civilization Beyond Two Worlds";"https://boxnovel.com/novel/civilization-beyond-two-worlds/"
"My Wife The Ice Queen President";"https://boxnovel.com/novel/my-wife-the-ice-queen-president/"
"Lets Squander A Billion First";"https://boxnovel.com/novel/lets-squander-a-billion-first/"
"Starting My Cultivation With Time Management";"https://boxnovel.com/novel/starting-my-cultivation-with-time-management/"
"Found 100 Million In My Rented Apartment";"https://boxnovel.com/novel/found-100-million-in-my-rented-apartment/"
"The Glamorous Comeback of the Ousted Heiress";"https://boxnovel.com/novel/the-glamorous-comeback-of-the-ousted-heiress/"
"My Ceo Husband is Sworn Enemy";"https://boxnovel.com/novel/my-ceo-husband-is-sworn-enemy/"
"Theres Something Wrong With This Account";"https://boxnovel.com/novel/theres-something-wrong-with-this-account/"
"Kings Awakening";"https://boxnovel.com/novel/kings-awakening/"
"Immortal Taoist Lord My Cultivation Have No Limits";"https://boxnovel.com/novel/immortal-taoist-lord-my-cultivation-have-no-limits/"
"The Big Shots Movie Star Wife Is Beautiful and Sassy";"https://boxnovel.com/novel/the-big-shots-movie-star-wife-is-beautiful-and-sassy/"
"Ms Doctor Divine";"https://boxnovel.com/novel/ms-doctor-divine/"
"Reborn at Boot Camp General Dont Mess Around";"https://boxnovel.com/novel/reborn-at-boot-camp-general-dont-mess-around/"
"Beast Taming I Can Even Breed Gods and Demons";"https://boxnovel.com/novel/beast-taming-i-can-even-breed-gods-and-demons/"
"Reborn in the Eighties as a Housewife with a Space";"https://boxnovel.com/novel/reborn-in-the-eighties-as-a-housewife-with-a-space/"
"Simulation Towards Immortality In A Group Chat";"https://boxnovel.com/novel/simulation-towards-immortality-in-a-group-chat/"
"Substitute Marriage Reborn As The Top BigShot";"https://boxnovel.com/novel/substitute-marriage-reborn-as-the-top-big-shot/"
"My Master Only Breaks Through on the Edge of Death";"https://boxnovel.com/novel/my-master-only-breaks-through-on-the-edge-of-death/"
"The Yun Familys Ninth Child is an Imp";"https://boxnovel.com/novel/the-yun-familys-ninth-child-is-an-imp/"
